name,description,image_url,zone,type,serial_numbers,unit_count
Original Prusa i3 MK3S+ Enclosure Bundle,,,3D Printing,Accessory,,1
Ultimaker Metal Expansion Kit,,,3D Printing,Accessory,,1
Ultimaker S5 Air Manager,,,3D Printing,Accessory,,1
Bambu Lab X1-Carbon Combo 3D Printer,,,3D Printing,Machine,00600A350907929; 00M00A342800191; 00M09A3C0401135,3
Form 2,,,3D Printing,Machine,PremiumMouse,1
Form 4,,,3D Printing,Machine,,1
Form Cure,,,3D Printing,Machine,OchreEmu,1
Form Wash,,,3D Printing,Machine,BlackberryPigeon,1
Matter and Form 3D Scanner,,,3D Printing,Machine,282b7fc2a79a,1
Mayku Form Box Vacuum former,,,3D Printing,Machine,,1
Mayku Formbox,,,3D Printing,Machine,,1
Prusa i3 MK3S+,,,3D Printing,Machine,23026008812.0,1
Ultimaker 3,,,3D Printing,Machine,BPP-004348-029036,1
Ultimaker 3 Extended,,,3D Printing,Machine,BPP-001701-012222,1
Ultimaker S5,,,3D Printing,Machine,BPP-019834-066374,1
BANTAM TOOLS CNC Milling Machine,,,CNC,Machine,,1
Bantam Desktop PCB Milling Machine (Othermill Pro),,,CNC,Machine,1187.0,1
Cricut Maker® 3,,,CNC,Machine,,1
Roland Camm-1 GS-24 Desktop Vinyl Cutter,,,CNC,Machine,User Manual,1
Shaper Origin,,,CNC,Machine,08DNJ,1
Shopbot Desktop Max ATC,,,CNC,Machine,,1
Shaper Workstation,,,CNC,Tool,,1
BGA Rework Station,,,Electronics,Machine,,1
DREMEL Workstation 220,,,Electronics,Machine,,1
Oscilloscope Textronix,,,Electronics,Machine,,1
SMD Rework Station,,,Electronics,Machine,,1
"Soldering Irons (Weller WESD51 , HAKKO FX-888D, AOYUE Int 2703A+)",,,Electronics,Tool,,1
Label Maker AC Adapter,,,Large Format,Accessory,,1
"HP DesignJet T630 36"" Large Format Plotter Printer",,,Large Format,Machine,,1
Bofa AD500 Fume Extractor,,,Laser Cutting,Accessory,10/12/AD500-146,1
B&W Laser Printer with Double sided Printing Remotely,,,Laser Cutting,Machine,,1
Epilog Helix 24 laser (8000 Laser System),,,Laser Cutting,Machine,8040-13124562418R,1
"Trotec Speedy 400, 80W",,,Laser Cutting,Machine,,1
Apple Pencil,,,Scanning/VR,Accessory,,1
Tripod with adapter,,,Scanning/VR,Accessory,,1
GoPro 7 Hero Black,,,Scanning/VR,Machine,,1
HP Sprout (J4W72AA#ABA),,,Scanning/VR,Machine,,1
Meta Quest 2 VR Headset,,,Scanning/VR,Machine,,1
iPad 6th generation [MR7F2LL./A],,,Scanning/VR,Machine,,1
Structure Sensor,,,Scanning/VR,Tool,,1
"EverSewn Sparrow X2 Sewing & Embroidery Machine,",,,Sewing,Machine,C21S10001502,1
Singer Stylist 7258,,,Sewing,Machine,H15308G25810711,1
4 inch to 2.5 inch Hose Coupler,,,Woodshop,Accessory,,1
7.4A Mobile Dust Extractor,,,Woodshop,Accessory,,1
DEWALT DCB107 12V/20V MAX Lithium Ion Charger,,,Woodshop,Accessory,,1
FESTOOL CT MIDI Dust Extractor,,,Woodshop,Accessory,,1
Festool 575267 Dust Extractor ct Midi Hepa,,,Woodshop,Accessory,,1
HUSKY Socket and Bit set,"Used for tightening and loosening nuts, bolts, and screws.",https://drive.google.com/thumbnail?id=1K4iMTBdvTpmeozGvQzh2Kpa85tNuvAIv&sz=w400,Woodshop,Accessory,,1
Hose Ring Clamp,,,Woodshop,Accessory,,1
